source,source_url,source_item_url,category,provider_name,legal_company_name,brand_or_product,product_id,apr_from,apr_to,company_url,source_notes
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/surugabank/,銀行-地方,スルガ銀行,,スルガ銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/179,銀行-地方,トマト銀行,株式会社トマト銀行,Q-Li[キューリ],179,3.0000,14.5000,https://www.tomatobank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/181,銀行-地方,トマト銀行,株式会社トマト銀行,はなまるポケットカードローン300,181,9.0000,14.5000,https://www.tomatobank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/180,銀行-地方,トマト銀行,株式会社トマト銀行,スピード王,180,12.0000,14.5000,https://www.tomatobank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/176,銀行-地方,トマト銀行,株式会社トマト銀行,トマト・カードローンMAX,176,6.1500,13.1500,https://www.tomatobank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/tomatobank/,銀行-地方,トマト銀行,,トマト銀行カードローン,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/77bank/,銀行-地方,七十七銀行,,七十七銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1486,銀行-地方,三十三銀行,株式会社三十三銀行,三十三銀行 カードローン,1486,0.9000,14.5000,https://www.33bank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/miebank/,銀行-地方,三重銀行,,三重銀行カードローン,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/chukyo-bank/,銀行-地方,中京銀行,,中京銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/chugin/,銀行-地方,中国銀行,,中国銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/keiyobank/,銀行-地方,京葉銀行,,京葉銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/kyotobank/,銀行-地方,京都銀行,,京都銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1462,銀行-地方,京都銀行,株式会社京都銀行,京都銀行カードローン <ダイレクト>,1462,1.9000,14.5000,https://www.kyotobank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1485,銀行-地方,仙台銀行,株式会社仙台銀行,カードローンNEO,1485,3.5000,14.5000,https://www.sendaibank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/sendaibank/,銀行-地方,仙台銀行,,仙台銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/296,銀行-地方,伊予銀行,株式会社伊予銀行,いよぎん新スピードカードローン,296,2.0000,14.5000,https://www.iyobank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/iyobank/,銀行-地方,伊予銀行,,伊予銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/tajimabank/,銀行-地方,但馬銀行,,但馬銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1446,銀行-地方,佐賀共栄銀行,株式会社佐賀共栄銀行,カードローンえびす,1446,7.0000,14.5000,https://www.kyogin.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/kyogin/,銀行-地方,佐賀共栄銀行,,佐賀共栄銀行カードローン,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/sagabank/,銀行-地方,佐賀銀行,,佐賀銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1470,銀行-地方,佐賀銀行,株式会社佐賀銀行,佐賀銀行 カードローン,1470,2.0000,14.6000,https://www.sagabank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/82bank/,銀行-地方,八十二銀行,,八十二銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/208,銀行-地方,八十二長野銀行,株式会社八十二長野銀行,はちにのかん太くんカード,208,1.8000,14.5000,https://bank.82group.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/207,銀行-地方,八十二長野銀行,株式会社八十二長野銀行,ニューマイティー(R),207,9.6250,14.2250,https://bank.82group.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/252,銀行-地方,北九州銀行,株式会社北九州銀行,マイカード きたきゅう君,252,4.5000,14.5000,https://www.kitakyushubank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/kitakyushubank/,銀行-地方,北九州銀行,,北九州銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/249,銀行-地方,北九州銀行,株式会社北九州銀行,北九州銀行 ミニカードローン,249,10.5000,10.5000,https://www.kitakyushubank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/hokkokubank/,銀行-地方,北國銀行,,北國銀行カードローン,,,,,scraped_from_manekai_company_category
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/258,銀行-地方,北日本銀行,株式会社北日本銀行,カードローンアスモ,258,4.5000,14.8000,http://www.kitagin.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/259,銀行-地方,北日本銀行,株式会社北日本銀行,スーパークイカ,259,3.0000,14.8000,http://www.kitagin.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/kitanihonbank/,銀行-地方,北日本銀行,,北日本銀行カードローン,,,,,scraped_from_manekai_company_category
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/262,銀行-地方,北洋銀行,株式会社北洋銀行,スーパーアルカ,262,1.9000,14.7000,https://www.hokuyobank.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/hokuyobank/,銀行-地方,北洋銀行,,北洋銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/hokaidobank/,銀行-地方,北海道銀行,,北海道銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
